iter	Passed	Remaining
0	59	29825
1	60	14970
2	60	10014
3	60	7536
4	61	6047
5	61	5053
6	61	4344
7	61	3812
8	62	3397
9	62	3066
10	62	2795
11	63	2569
12	63	2378
13	63	2214
14	64	2072
15	64	1948
16	64	1840
17	65	1742
18	65	1655
19	65	1576
20	65	1504
21	66	1439
22	66	1381
23	66	1328
24	67	1278
25	67	1232
26	67	1189
27	68	1149
28	68	1112
29	68	1077
30	69	1044
31	69	1014
32	69	986
33	70	960
34	70	935
35	70	911
36	71	888
37	71	867
38	71	846
39	71	826
40	72	808
41	72	790
42	72	773
43	73	756
44	73	741
45	73	726
46	73	712
47	74	699
48	74	686
49	74	674
50	75	662
51	75	650
52	75	639
53	76	628
54	76	618
55	76	608
56	77	598
57	77	589
58	77	580
59	77	571
60	78	563
61	78	555
62	78	547
63	79	539
64	79	531
65	79	524
66	80	517
67	80	510
68	80	503
69	80	496
70	81	490
71	81	484
72	81	478
73	82	472
74	82	467
75	82	461
76	83	456
77	83	451
78	83	445
79	83	440
80	84	435
81	84	430
82	84	426
83	85	421
84	85	416
85	85	412
86	85	407
87	86	403
88	86	399
89	86	395
90	87	391
91	87	387
92	87	383
93	87	379
94	88	376
95	88	372
96	88	369
97	89	365
98	89	362
99	89	359
100	90	355
101	90	352
102	90	349
103	90	346
104	91	343
105	91	340
106	91	337
107	92	334
108	92	331
109	92	329
110	93	326
111	93	323
112	93	320
113	93	318
114	94	315
115	94	312
116	94	310
117	95	307
118	95	305
119	95	302
120	95	300
121	96	298
122	96	295
123	96	293
124	97	291
125	97	289
126	97	286
127	97	284
128	98	282
129	98	280
130	98	278
131	99	276
132	99	274
133	99	272
134	99	270
135	100	268
136	100	266
137	100	264
138	101	262
139	101	260
140	101	259
141	102	257
142	102	255
143	102	253
144	102	251
145	103	250
146	103	248
147	103	246
148	104	245
149	104	243
150	104	241
151	104	240
152	105	238
153	105	237
154	105	235
155	106	233
156	106	232
157	106	231
158	107	229
159	107	228
160	107	226
161	107	225
162	108	223
163	108	222
164	108	220
165	109	219
166	109	217
167	109	216
168	109	215
169	110	213
170	110	212
171	110	211
172	110	209
173	111	208
174	111	207
175	111	205
176	112	204
177	112	203
178	112	202
179	113	200
180	113	199
181	113	198
182	113	197
183	114	196
184	114	194
185	114	193
186	115	192
187	115	191
188	115	190
189	116	189
190	116	188
191	116	187
192	116	186
193	117	184
194	117	183
195	117	182
196	118	181
197	118	180
198	118	179
199	119	178
200	119	177
201	119	176
202	119	175
203	120	174
204	120	173
205	120	172
206	121	171
207	121	170
208	121	169
209	121	168
210	122	167
211	122	166
212	122	165
213	123	164
214	123	163
215	123	162
216	124	161
217	124	160
218	124	159
219	124	159
220	125	158
221	125	157
222	125	156
223	126	155
224	126	154
225	126	153
226	126	152
227	127	151
228	127	150
229	127	149
230	128	149
231	128	148
232	128	147
233	128	146
234	129	145
235	129	144
236	129	144
237	130	143
238	130	142
239	130	141
240	131	140
241	131	140
242	131	139
243	131	138
244	132	137
